stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone
1,50001,Westbound Davie St @ Bidwell St,,49.286592,-123.140661,BUS ZN,https://translink.ca/schedules-and-maps/stop/50001/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50001,0,,1,
11,50011,Eastbound Davie St @ Howe St,,49.27755,-123.126971,BUS ZN,https://translink.ca/schedules-and-maps/stop/50011/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50011,0,,1,
21,50021,Eastbound E Pender St @ Carrall St,,49.280394,-123.103799,BUS ZN,https://translink.ca/schedules-and-maps/stop/50021/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50021,0,,1,
22,50022,Northbound Columbia St @ E Pender St,,49.280772,-123.102196,BUS ZN,https://translink.ca/schedules-and-maps/stop/50022/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50022,0,,1,
25,50025,Westbound Davie St @ Granville St,,49.277437,-123.126514,BUS ZN,https://translink.ca/schedules-and-maps/stop/50025/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50025,0,,1,
26,50026,Westbound Davie St @ Howe St,,49.278073,-123.127493,BUS ZN,https://translink.ca/schedules-and-maps/stop/50026/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50026,0,,1,
30,50030,Northbound Burrard St @ Robson St,,49.283593,-123.12214,BUS ZN,https://translink.ca/schedules-and-maps/stop/50030/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50030,0,,1,
31,50031,Burrard Station @ Bay 7,,49.284688,-123.120503,BUS ZN,https://translink.ca/schedules-and-maps/stop/50031/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50031,0,,1,
35,50035,Waterfront Station @ Bay 3,,49.284786,-123.111191,BUS ZN,https://translink.ca/schedules-and-maps/stop/50035/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50035,0,,1,
36,50036,Eastbound W Cordova St @ Homer St,,49.283719,-123.10959,BUS ZN,https://translink.ca/schedules-and-maps/stop/50036/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50036,0,,1,
40,50040,Waterfront Station @ Bay 2,,49.285599,-123.112074,BUS ZN,https://translink.ca/schedules-and-maps/stop/50040/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50040,0,,1,
44,50044,Southbound Burrard St @ W Georgia St,,49.284178,-123.121677,BUS ZN,https://translink.ca/schedules-and-maps/stop/50044/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50044,0,,1,
45,50045,Southbound Burrard St @ Robson St,,49.283087,-123.123336,BUS ZN,https://translink.ca/schedules-and-maps/stop/50045/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50045,0,,1,
46,50046,Southbound Burrard St @ Barclay St,,49.282068,-123.12488,BUS ZN,https://translink.ca/schedules-and-maps/stop/50046/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50046,0,,1,
47,50047,Southbound Burrard St @ Nelson St,,49.280981,-123.126516,BUS ZN,https://translink.ca/schedules-and-maps/stop/50047/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50047,0,,1,
48,50048,Westbound Davie St @ Burrard St,,49.279449,-123.129617,BUS ZN,https://translink.ca/schedules-and-maps/stop/50048/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50048,0,,1,
49,50049,Westbound Davie St @ Thurlow St,,49.280756,-123.131638,BUS ZN,https://translink.ca/schedules-and-maps/stop/50049/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50049,0,,1,
50,50050,Westbound Davie St @ Bute St,,49.282009,-123.133574,BUS ZN,https://translink.ca/schedules-and-maps/stop/50050/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50050,0,,1,
51,50051,Westbound Davie St @ Jervis St,,49.283006,-123.135121,BUS ZN,https://translink.ca/schedules-and-maps/stop/50051/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50051,0,,1,
52,50052,Westbound Davie St @ Broughton St,,49.283898,-123.136507,BUS ZN,https://translink.ca/schedules-and-maps/stop/50052/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50052,0,,1,
